ser,country,q101,q102,q103,q2011,q2012,q2013,q2014,q2015,q202,q204,q205,q206,q207,q210,q211,q212,q2131,q2132,q2133,q2134,q2135,q214,q215,q216,q217,q219,q221,q222,q224,q2251,q2252,q226,q227,q228,q2301,q2302,q2311,q2312,q2321,q2322,q2323,q2324,q234,q235,q236,q237,q238,q239,q240,q241,q242,q243,q244,q2451,q2452,q2453,q2454,q2461,q2462,q2463,q2464,q2471,q2472,q2473,q2474,q2475,q2476,q248withoutpalestine,q248donlypalestine,q249withoutpalestine,q249onlypalestine,q2501,q2502,q2511,q2512,q2513,q2514,q252,q253,q254,q2551,q2552,q2553,q2554,q2561,q2562,q2563,q2564,q2565,q2571,q2572,q301,q3021,q3022,q3031,q3032,q3033,q304,q305,q306,q4011,q4012,q4013,q4014,q4021,q4022,q4023,q501,q5021,q5022,q5023,q5024,q5025,q5026,q503,q5041,q5042,q5043,q5044,q5045,q5046,q5051,q5052,q5053,q5054,q5055,q5056,q5057,q5061,q5062,q5063,q5071,q5072,q5073,q5074,q5075,q601,q602,q6031,q6032,q6033,q6034,q6035,q604,q605,q606,q607,q608,q609,q610,q611,q612,q6131,q6132,q6133,q701,q701agecategories,q702,q703,q703dichotomous,q704,q705,q706,q707,q708,q709,q710,q711,q712,q713,q714,q714a,q715withoutmorocco,q716withoutmorocco,V715onlymorocco,V716onlymorocco,q715incomedeciles,q716incomedeciles,q717
660,4,3,2,2,2,2,2,2,4,2,2,2,3,3,2,98,98,2,2,2,2,5,1,4,4,1,3,3,2,5,1,1,1,6,1,3,1,100,100,4,4,4,2,4,6,5,4,8,9,7,9,4,9,5,1,4,2,98,100,100,100,100,2,4,4,3,2,4,3,100,2,100,3,100,1,4,3,1,2,2,4,1,1,1,2,4,4,1,2,1,1,2,2,100,100,2,2,2,3,4,1,3,1,2,4,2,1,2,4,2,1,2,2,2,1,2,4,2,1,3,3,3,1,1,3,3,1,1,1,3,1,1,3,3,3,3,3,1,3,100,100,100,100,100,100,3,100,100,1,1,1,3,4,1,1,2, ,2,2,1,0,1, ,2,7,2,2,7,100,5,1,2,3, , ,0,3,1.5,8,100
912,4,3,2,2,2,2,2,2,98,2,2,1,1,2,2,98,1,1,1,2,5,2,3,4,3,1,3,1,5,5,1,1,2, ,2,3,3,100,100,4,4,4,1,4,98,98,98,98,98,98,98,2,3,3,1,3,1,3,100,100,100,100,2,2,3,1,4,4,1,100,2,100,4,100,2,1,1,2,98,3,2,1,1,1,1,4,4,4,4,3,98,98,98,100,100,1,2,2,1,5,1,1,2,2,2,1,2,1,4,4,1,4,4,4,1,99,98,3,1,2,3,1,2,4,2,4,2,1,3,3,1,1,2,3,2,3,1,1,4,100,100,100,100,100,100,4,100,100,2,2,2,4,1,2,2,2, ,1,1,7,1,2,3, , , ,1, ,100,2,1,3,1, , ,2,2,8.5,5.5,100
204,4,3,2,2,2,2,2,3,4,2,2,2,1,1,1,3,1,1,5,2,2,3,3,2,2,1,4,4,1,5,1,1,1,4,1,2,2,100,100,4,4,4,1,1,6,2,1,8,8,5,7,5,8,6,1,4,4,4,100,100,100,100,1,3,3,2,2,2,1,100,2,100,2,4,4,3,4,2,2,2,3,1,1,1,1,3,4,1,1,1,1,1,1,100,100,1,2,2,4,1,1,1,3,3,2,1,1,2,4,1,1,4,4,4,3,1,3,2,1,2,4,2,1,2,4,4,1,1,4,3,2,1,3,4,4,4,1,2,3,100,100,100,100,100,100,4,100,100,1,4,1,2, ,2,2,1, ,3,1,3,1,1, ,1,3,1,2,12,100,3,1,3,3, , ,1,4,5,9,100
179,4,3,2,2,2,2,2,3,4,2,2,3,4,1,1,4,1,2,2,3,2,2,3,3,3,1,4,3,5,5,2,1,1,3,1,2,2,100,100,4,3,3,2,2,7,5,8,9,7,6,2,5,6,7,1,4,1,4,100,100,100,100,1,4,4,3,2,3,6,100,2,100,4,4,3,2,3,3,1,3,4,1,2,1,2,1,3,1,1,1,1,98,97,100,100,2,2,1,3,3,4,1,3,3,2,1,2,2,4,2,1,4,3,3,1,2,3,2,1,3,98,4,4,3,1,3,3,2,4,3,3,2,2,3,3,4,2,1,3,100,100,100,100,100,100,4,100,100,1,4,2,3,2,2,1,1, ,2,1,1,0,2,2, , , ,2,3,100,5,1,2,3, , ,3,3,10,8,100
1014,4,3,2,2,2,2,3,2,2,2,2,2,3,2,2,4,1,1,5,4,2,2,1,3,4,99,4,98,5,5,2,2,2, ,2,3,3,100,100,3,3,3,3,4,95,95,95,95,95,95,95,5,4,3,2,3,2,2,100,100,100,100,2,2,2,2,2,2,1,100,2,100,3,100,3,3,3,3,3,4,4,1,1,1,1,1,1,1,1,4,98,98,98,100,100,1,2,2,3,3,1,2,2,2,2,1,1,1,3,4,4,4,4,4,1,6,3,3,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,98,98,100,100,100,100,100,100,4,100,100,1,3,1,1, ,2,2,2, ,2,1,2,1,1, ,1,3,2,2,13,100,5,1,3,1, , ,1,3,5,8,100
462,4,3,2,2,2,2,3,2,98,2,2,2,2,3,2,98,98,3,5,4,5,5,98,3,2,1,3,3,2,5,1,1,2, ,98,2,3,100,100,3,98,2,2,2,98,98,8,98,9,98,95,5,10,8,1,4,3,98,100,100,100,100,1,1,2,1,1,2,1,100,3,100,3,100,2,2,1,1,2,3,1,1,1,1,1,4,2,1,1,1,98,98,2,100,100,2,2,2,2,5,1,1,98,3,3,3,2,2,4,1,1,4,4,2,1,1,3,4,1,1,98,4,98,2,98,4,98,1,4,3,3,3,2,2,2,2,2,3,2,100,100,100,100,100,100,98,100,100,1,99,2,3,1,98,2,2, ,2,2,2,1,1, ,1,8,2,2,8,100,1,1,3,1, , ,3,3,10,8,100
787,4,3,2,2,2,2,3,3,2,2,2,2,3,3,1,2,2,2,5,5,5,3,1,3,2,1,98,2,4,5,2,1,2, ,1,2,2,100,100,3,4,4,2,1,4,96,5,7,5,96,95,3,10,3,1,2,2,1,100,100,100,100,2,4,3,2,2,4,2,100,1,100,2,100,3,4,2,1,2,2,3,1,1,1,1,2,1,2,3,2,1,2,1,100,100,2,2,2,1,3,2,4,4,4,2,1,3,1,3,4,3,2,2,3,2,6,3,3,4,2,99,2,1,1,3,4,1,1,1,1,3,3,3,3,4,98,3,3,2,100,100,100,100,100,100,4,100,100,1,3,1,2, ,2,1,1, ,2,1,2,1,2,2, , , ,2,8,100,2,1,2,1, , ,1,4,5,9,100
588,4,3,2,2,2,2,4,1,4,1,2,2,1,2,1,1,2,1,5,3,1,4,1,3,3,1,2,2,2,5,2,2,1,7,2,2,3,100,100,3,2,3,2,4,5,4,9,8,10,7,96,7,5,6,1,3,2,2,100,100,100,100,2,4,4,2,2,4,1,100,3,100,3,100,3,1,2,1,2,2,1,1,2,1,1,3,2,1,1,1,98,98,99,100,100,2,2,2,4,5,1,3,2,2,3,3,2,2,4,4,1,4,4,4,4,99,2,2,1,98,98,1,3,2,1,3,3,1,2,3,2,3,1,3,2,3,2,1,2,100,100,100,100,100,100,3,100,100,2,2,2,2, ,3,3,1, ,3,1,7,1,1, ,1,1,1,1, ,100,2,1,3,1, , ,1,2,5,5.5,100
593,4,3,2,2,2,2,4,1,4,2,1,1,2,1,1,4,2,2,5,2,5,2,1,2,2,1,4,1,5,5,1,1,2, ,1,3,3,100,100,4,98,1,1,2,1,95,5,9,96,10,96,98,7,6,1,1,3,2,100,100,100,100,1,3,4,4,2,1,2,100,1,100,3,98,1,2,2,3,1,2,4,2,1,1,1,1,4,2,4,1,98,2,1,100,100,1,2,2,1,5,1,1,4,4,1,1,1,1,1,4,1,4,1,4,1,99,4,3,1,1,1,1,1,1,3,4,1,1,2,3,1,1,1,4,2,1,4,3,98,100,100,100,100,100,100,4,100,100,1,1,2,2, ,2,2,1, ,2,2,2,1,2,2, , , ,2,14,100,5,1,2,1, , ,1,2,5,5.5,100
666,4,3,2,2,2,2,4,2,4,2,2,2,2,1,2,1,1,1,3,2,1,3,1,1,1,1,3,3,5,5,1,1,1,2,1,2,3,100,100,4,4,4,1,1,5,2,9,8,95,6,95,5,10,7,1,4,1,2,100,100,100,100,2,3,3,3,2,1,1,100,2,100,98,100,4,4,4,2,3,3,4,1,1,1,1,4,2,1,1,1,98,1,2,100,100,1,2,2,4,5,1,1,3,1,2,1,1,1,4,1,1,4,4,1,1,2,2,1,1,4,1,2,4,4,1,2,4,4,4,3,3,3,3,4,3,2,1,1,4,100,100,100,100,100,100,4,100,100,1,2,2,3,3,3,3,2, ,2,1,1,0,1, ,2,7,2,1, ,100,2,1,3,1, , ,3,3,10,8,100
586,4,3,2,2,2,2,4,3,4,2,1,2,2,2,2,2,2,1,5,5,5,1,1,1,1,3,3,3,4,5,1,1,2, ,2,2,3,100,100,3,2,3,1,2,5,4,3,8,5,7,7,5,8,6,1,4,2,2,100,100,100,100,1,2,3,2,2,2,1,100,3,100,2,100,3,3,3,2,4,2,2,1,1,1,1,4,98,1,2,1,1,1,2,100,100,1,2,2,1,5,1,1,3,3,2,1,2,2,4,2,1,4,2,1,2,99,2,3,1,1,2,1,2,1,2,2,1,1,3,2,3,3,1,3,2,2,4,1,4,100,100,100,100,100,100,4,100,100,2,2,1,2, ,2,2,2, ,2,1,2,1,2,4, , , ,1, ,100,2,1,3,1, , ,5,9,10,10,100
950,4,3,2,2,2,2,4,98,3,2,2,2,1,1,2,1,2,1,1,3,4,4,1,3,2,1,3,3,5,5,2,1,1,3,1,3,3,100,100,4,4,4,1,1,4,98,8,7,5,6,95,5,6,6,1,2,1,2,100,100,100,100,2,3,4,3,3,4,1,100,2,100,2,100,2,1,1,1,3,3,3,2,2,1,1,4,2,1,1,1,98,98,1,100,100,1,2,2,3,5,1,2,2,2,1,1,1,1,4,1,1,4,4,2,1,2,3,4,1,2,1,1,1,2,3,2,1,1,2,2,3,3,3,2,4,4,1,1,4,100,100,100,100,100,100,4,100,100,2,2,2,2, ,3,3,3, ,1,2,3,1,1, ,2,7,2,1, ,100,1,1,2,1, , ,0,2,1.5,5.5,100
93,4,3,2,2,2,3,2,2,3,2,2,2,3,1,2,2,1,2,2,3,2,4,3,4,2,1,3,2,5,5,2,2,2, ,1,3,2,100,100,3,3,3,1,1,98,98,8,5,2,5,2,2,10,4,2,3,98,98,100,100,100,100,2,3,3,3,2,2,1,100,2,100,98,4,3,3,3,3,2,3,4,2,2,1,2,1,1,1,1,1,98,98,2,100,100,1,2,2,2,5,1,2,1,1,3,1,1,1,3,3,1,4,4,1,1,2,3,3,1,3,3,1,2,1,1,3,1,1,2,3,3,3,1,4,4,4,1,2,4,100,100,100,100,100,100,4,100,100,1,1,2,4,3,2,2,98, ,2,2,2,1,1, ,1,8,2,2,12,100,4,1,1,1, , ,1,5,5,10,100
750,4,3,2,2,2,3,2,3,4,2,1,1,1,1,2,2,1,1,2,2,5,5,3,1,1,1,4,2,5,5,4,3,2, ,1,3,3,100,100,3,3,3,2,2,98,98,6,7,8,7,95,5,9,4,1,4,1,2,100,100,100,100,2,4,4,3,2,2,1,100,2,100,3,100,4,2,4,1,2,1,1,1,1,1,1,4,4,1,1,1,98,98,1,100,100,2,2,2,1,5,1,1,1,2,2,2,2,2,4,1,1,4,4,4,4,2,3,1,2,2,3,3,2,2,1,4,2,2,4,3,3,3,2,3,3,3,1,1,3,100,100,100,100,100,100,4,100,100,1,3,1,2, ,3,4,1, ,3,2,2,1,1, ,2,7,2,2,12,100,2,1,3,1, , ,1,3,5,8,100
302,4,3,2,2,2,3,3,1,2,1,1,3,3,1,1,3,1,2,5,3,2,2,3,1,1,1,2,1,2,5,1,1,1,3,1,2,2,100,100,1,3,2,3,2,2,1,7,2,8,3,8,7,10,6,1,4,4,98,100,100,100,100,2,3,3,2,2,2,1,100,3,100,1,2,2,2,2,1,2,3,2,1,2,1,1,4,1,1,4,1,1,1,1,100,100,2,2,2,2,5,1,1,4,4,1,2,3,2,99,4,4,4,4,3,2,99,3,3,3,2,3,2,1,2,3,3,1,1,1,2,3,99,1,2,2,3,3,3,3,100,100,100,100,100,100,4,100,100,1,3,1,2, ,2,2,3, ,1,1,3,1,1, ,1,3,2,1, ,100,5,2, ,99, , ,3,3,10,8,100
934,4,3,2,2,2,3,4,1,2,1,2,1,1,1,2,3,2,1,1,2,2,5,1,3,2,1,3,1,5,5,3,2,2, ,1,2,3,100,100,4,4,4,1,2,3,4,9,6,10,4,10,10,8,10,1,1,1,1,100,100,100,100,3,4,4,3,2,3,1,100,2,100,3,100,1,1,1,1,4,2,3,1,1,1,1,4,4,1,1,1,98,1,2,100,100,1,2,2,2,5,1,1,1,2,1,2,1,1,4,3,1,4,4,4,3,2,4,4,3,1,1,1,1,1,4,3,1,1,2,3,3,3,2,3,4,2,1,1,4,100,100,100,100,100,100,4,100,100,1,4,2,1, ,2,3,3, ,5,2,1,0,2,2, , , ,3,14,100,5,1,3,1, , ,0,2,1.5,5.5,100
1017,4,3,2,2,2,3,4,1,3,1,2,1,3,1,2,4,2,3,5,5,2,3,3,4,1,2,3,4,5,5,2,2,2, ,2,3,2,100,100,1,1,2,1,1,8,6,10,7,95,8,95,8,7,6,1,4,4,98,100,100,100,100,2,3,4,2,2,3,6,100,2,100,2,100,1,1,4,1,1,4,3,2,1,1,1,4,2,1,1,1,1,1,2,100,100,2,2,2,3,5,1,3,1,3,4,1,2,3,4,3,1,4,4,1,4,2,2,3,2,2,2,3,2,2,3,3,2,2,2,3,3,3,2,3,3,3,2,2,3,100,100,100,100,100,100,4,100,100,1,2,1,4,3,2,3,1, ,3,2,1,0,1, ,1,3,1,2,12,100,5,1,3,1, , ,1,2,5,5.5,100
342,4,3,2,2,2,3,4,3,2,2,2,2,1,3,2,4,1,1,5,2,2,4,3,3,2,1,3,2,1,5,1,2,2, ,2,3,3,100,100,4,3,3,1,1,6,2,1,9,10,4,7,1,10,2,1,3,98,4,100,100,100,100,3,3,3,3,2,4,1,100,2,100,3,4,3,3,3,2,2,4,3,1,1,2,2,4,2,1,2,1,2,2,1,100,100,2,2,2,2,1,2,1,2,2,3,1,2,1,2,4,1,4,4,4,2,2,3,3,3,3,4,2,2,1,4,4,4,4,2,3,3,3,1,3,3,3,2,3,3,100,100,100,100,100,100,3,100,100,1,3,1,3,2,2,3,1, ,2,1,7,1,2,3, , , ,1, ,100,5,2, ,99, , ,1,5,5,10,100
935,4,3,2,2,2,3,4,3,4,2,2,2,1,1,2,3,1,1,2,4,5,4,1,3,2,1,3,4,5,5,3,1,2, ,1,3,3,100,100,4,4,4,1,1,10,6,6,10,10,7,5,3,8,9,1,4,1,1,100,100,100,100,2,3,4,3,3,2,5,100,2,100,1,100,1,1,1,1,3,4,3,1,1,1,1,4,3,1,1,1,98,98,1,100,100,1,1,1,1,5,1,1,1,1,3,1,1,1,4,1,1,3,4,4,1,2,3,4,1,1,1,4,4,4,1,4,1,1,4,3,3,3,2,3,4,3,1,1,4,100,100,100,100,100,100,4,100,100,1,2,2,3,3,3,3,4, ,2,1,7,1,1, ,1,4,2,1, ,100,1,1,3,1, , ,1,2,5,5.5,100
753,4,3,2,2,2,3,4,4,4,2,2,2,1,2,2,1,1,3,5,4,5,4,1,1,1,1,3,1,5,5,1,1,2, ,1,3,3,100,100,4,4,4,1,1,5,2,8,9,95,5,95,5,10,5,1,4,1,3,100,100,100,100,2,3,3,3,1,2,5,100,1,100,1,100,4,3,4,3,2,3,1,1,1,1,1,4,4,1,1,1,98,98,2,100,100,1,2,2,4,5,1,2,1,1,4,1,1,3,4,1,1,4,4,4,1,2,4,3,1,2,1,4,2,4,2,4,2,2,4,2,3,3,3,3,4,4,2,3,4,100,100,100,100,100,100,4,100,100,2,1,2,2, ,2,3,2, ,2,2,1,0,2,2, , , ,2,7,100,5,1,2,1, , ,2,3,8.5,8,100
908,4,3,2,2,2,4,4,1,4,2,2,1,1,2,2,98,2,1,3,4,2,3,3,4,4,1,3,2,5,5,2,1,2, ,2,3,3,100,100,4,4,4,1,2,98,98,7,9,9,98,95,7,9,5,1,4,1,3,100,100,100,100,2,4,4,4,2,3,1,100,2,100,2,100,3,4,4,2,98,3,4,1,1,1,1,4,2,4,4,2,98,98,98,100,100,1,2,2,1,1,1,1,2,4,2,4,1,1,4,4,1,4,4,1,1,99,2,2,1,3,1,1,2,3,2,4,2,1,1,1,1,2,3,3,2,4,2,3,4,100,100,100,100,100,100,1,100,100,2,2,2,1, ,4,4,98, ,6,2,2,1,2,2, , , ,3,14,100,5,1,3,1, , ,1,3,5,8,100
579,4,3,2,2,2,4,4,2,4,2,2,2,2,1,1,4,2,3,5,4,5,3,1,3,3,1,4,2,2,5,1,1,1,1,1,3,3,100,100,3,3,3,1,2,5,7,1,10,95,8,10,4,8,6,1,4,3,4,100,100,100,100,1,4,4,3,2,2,6,100,1,100,3,100,2,1,2,1,4,4,2,1,2,1,1,1,1,1,1,1,1,98,2,100,100,2,2,2,2,1,1,1,3,2,3,1,1,1,2,4,4,4,4,4,4,99,2,2,1,2,1,1,1,1,2,3,2,1,3,3,1,1,2,4,3,4,4,2,4,100,100,100,100,100,100,2,100,100,1,2,1,4,3,4,3,1, ,1,1,6,1,2,4, , , ,1, ,100,3,1,3,3, , ,2,9,8.5,10,100
307,4,3,2,2,2,98,4,1,4,2,2,4,2,2,2,2,1,3,4,4,5,4,3,3,2,1,3,3,5,5,2,1,2, ,2,3,3,100,100,98,1,2,1,4,98,4,95,6,10,96,95,10,8,5,1,4,2,2,100,100,100,100,4,4,4,4,2,3,1,100,2,100,2,3,4,2,2,3,4,4,3,1,1,1,1,1,1,1,1,4,98,98,2,100,100,1,2,2,4,1,1,1,1,98,1,1,1,1,3,2,1,98,98,2,1,99,98,2,2,1,3,1,1,1,4,3,1,1,1,1,1,1,2,4,3,2,1,3,98,100,100,100,100,100,100,4,100,100,1,2,2,3,1,4,4,3, ,2,2,2,1,1, ,1,3,2,2,4,100,4,1,2,1, , ,1,2,5,5.5,100
343,4,3,2,2,3,2,2,1,4,2,2,2,1,2,2,4,1,1,1,1,1,4,3,4,2,1,3,1,5,5,1,1,2, ,2,3,3,100,100,4,4,4,4,1,10,1,10,10,10,10,8,1,10,5,1,3,98,4,100,100,100,100,2,3,4,4,3,3,1,100,2,100,3,99,3,3,3,2,2,3,4,2,2,1,1,3,1,1,1,1,2,2,2,100,100,1,2,2,2,5,1,4,1,1,3,1,1,2,3,2,1,4,4,4,3,2,3,3,2,4,3,3,3,2,2,3,1,2,3,3,3,3,1,3,3,3,1,1,2,100,100,100,100,100,100,3,100,100,1,3,1,3,3,2,3,1, ,2,1,2,1,1, ,1,8,2,2,12,100,3,1,2,99, , ,1,4,5,9,100
114,4,3,2,2,3,2,2,2,2,2,1,3,3,2,2,99,2,2,2,3,2,4,99,4,3,1,4,3,5,5,3,4,2, ,1,3,3,100,100,3,2,3,2,1,3,10,10,95,95,95,95,95,10,2,2,3,98,3,100,100,100,100,2,2,2,2,2,2,1,100,2,100,98,3,3,3,3,4,3,2,3,1,1,1,1,2,2,1,1,1,2,2,2,100,100,2,2,2,2,5,1,2,1,1,3,1,1,1,4,4,1,1,1,1,1,2,98,3,2,2,3,2,1,1,1,1,1,1,1,3,3,3,1,3,3,3,1,99,99,100,100,100,100,100,100,4,100,100,1,2,2,3,3,3,3,3, ,2,1,2,1,2,2, , , ,3,14,100,4,1,2,3, , ,3,3,10,8,100
127,4,3,2,2,3,2,3,2,2,2,2,3,3,2,2,3,1,1,5,3,2,5,3,3,2,1,3,2,2,5,2,4,2, ,1,3,3,100,100,3,2,4,2,1,6,95,95,10,10,4,10,95,10,2,1,3,4,3,100,100,100,100,2,2,3,3,3,3,1,100,2,100,3,3,2,2,3,3,2,2,3,2,2,1,2,3,2,1,2,1,1,2,2,100,100,2,2,2,2,1,2,2,3,3,3,2,2,2,4,4,1,4,4,4,1,2,3,4,3,3,3,1,1,1,3,3,1,1,1,3,3,3,2,3,3,3,2,3,4,100,100,100,100,100,100,4,100,100,1,3,1,3,3,3,2,1, ,4,2,2,1,2,2, , , ,3,14,100,5,1,3,3, , ,2,3,8.5,8,100
1057,4,3,2,2,3,2,98,2,4,1,2,3,1,1,2,3,2,3,2,3,3,5,1,4,4,1,3,3,5,5,98,98,1,7,1,3,3,100,100,3,3,3,2,2,2,3,4,5,95,3,95,4,9,3,1,4,2,3,100,100,100,100,2,3,3,3,3,3,1,100,2,100,2,100,3,3,2,2,3,4,4,2,2,1,1,3,2,1,1,1,98,98,2,100,100,2,2,2,3,1,1,3,3,3,2,1,2,2,2,2,1,4,4,4,2,2,3,3,2,98,2,2,2,2,3,3,2,2,2,3,3,3,2,3,3,3,2,3,3,100,100,100,100,100,100,4,100,100,1,3,2,1, ,2,2,2, ,2,2,3,1,1, ,1,3,2,1, ,100,5,1,3,1, , ,1,1,5,2,100
309,4,3,2,2,3,3,1,2,3,2,1,4,1,1,2,2,2,1,5,2,5,2,1,3,1,1,3,3,1,5,1,1,2, ,1,3,3,100,100,3,3,4,1,2,1,1,3,5,2,5,1,8,10,5,1,4,3,4,100,100,100,100,2,3,3,3,3,4,2,100,1,100,2,99,2,1,1,1,1,4,3,1,1,1,1,4,4,2,2,2,98,1,2,100,100,2,2,2,1,1,2,1,2,2,1,1,1,1,4,4,1,4,4,4,4,99,2,4,1,1,2,1,1,2,3,2,1,1,1,1,1,1,1,3,2,2,4,3,4,100,100,100,100,100,100,3,100,100,2,1,1,2, ,2,2,2, ,3,1,1,0,2,2, , , ,2,3,100,5,1,2,3, , ,1,3,5,8,100
635,4,3,2,2,3,3,3,1,4,2,2,3,3,1,2,2,1,1,1,3,5,4,3,2,1,1,3,2,5,5,2,2,2, ,1,3,3,100,100,3,3,3,1,2,2,98,5,7,10,98,5,1,10,5,1,4,3,4,100,100,100,100,3,3,3,2,2,2,1,100,2,100,98,100,3,3,3,2,3,4,3,1,2,2,1,3,2,1,1,1,2,2,2,100,100,2,2,2,2,1,2,3,2,2,3,1,1,1,3,4,1,3,3,3,1,2,3,3,2,3,4,2,2,2,3,3,1,1,2,3,3,2,1,4,4,3,1,3,4,100,100,100,100,100,100,4,100,100,1,2,1,3,2,3,2,1, ,4,2,2,1,2,2, , , ,2,3,100,5,1,3,3, , ,0,3,1.5,8,100
1046,4,3,2,2,3,3,3,3,3,2,2,2,3,2,1,3,2,2,5,4,5,3,3,2,2,1,3,3,2,5,2,1,1,1,1,3,2,100,100,4,4,4,1,2,4,6,3,9,9,7,9,4,9,2,1,4,2,4,100,100,100,100,2,2,2,3,3,4,1,100,2,100,2,100,1,3,4,4,4,2,2,1,1,1,1,3,1,1,1,1,1,1,2,100,100,2,2,2,4,1,2,1,2,2,2,2,2,2,2,2,1,4,1,2,1,2,3,3,1,98,1,4,3,1,1,3,4,1,4,3,3,3,2,4,4,4,3,3,4,100,100,100,100,100,100,4,100,100,1,1,2,3,3,2,1,1, ,2,1,6,1,1, ,1,3,2,1, ,100,3,1,2,1, , ,2,4,8.5,9,100
995,4,3,2,2,3,3,3,4,3,2,2,3,1,3,2,4,1,4,2,3,5,5,3,4,3,3,3,4,1,5,2,1,2, ,2,3,3,100,100,4,4,4,1,3,8,6,8,9,9,9,6,5,3,4,1,2,1,1,100,100,100,100,3,3,4,3,3,2,1,100,2,100,2,100,1,1,1,1,2,2,4,1,2,1,1,4,4,1,3,1,98,98,98,100,100,1,2,2,1,5,1,1,2,2,1,1,1,2,4,1,1,4,4,1,1,2,4,1,1,98,1,1,2,4,1,3,4,4,4,3,3,3,3,4,4,4,1,1,4,100,100,100,100,100,100,4,100,100,1,4,2,4,2,3,3,3, ,4,1,1,0,2,2, , , ,2,14,100,5,1,3,1, , ,0,2,1.5,5.5,100
1226,4,3,2,2,3,3,3,98,3,2,2,2,2,1,2,98,1,2,2,2,98,3,3,4,3,1,98,3,5,5,3,4,2, ,1,3,3,100,100,3,3,3,98,3,9,98,9,9,9,9,1,3,10,6,1,2,2,2,100,100,100,100,3,3,3,3,3,3,1,100,2,100,98,100,4,4,4,2,1,3,4,3,1,1,1,4,4,2,2,1,98,98,2,100,100,2,2,2,98,5,1,3,1,1,4,2,1,2,3,4,1,4,4,4,2,2,1,2,1,98,3,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,98,100,100,100,100,100,100,4,100,100,1,3,2,3,1,1,1,1, ,3,2,2,1,1, ,99,4,2,1, ,100,3,1,2,1, , ,0,2,1.5,5.5,100
709,4,3,2,2,3,3,4,1,3,1,2,1,1,2,1,3,2,2,5,4,4,4,1,4,3,1,1,1,3,1,1,1,1,3,1,3,1,100,100,4,4,3,2,1,9,98,7,98,6,98,1,5,6,5,2,4,4,4,100,100,100,100,2,3,3,3,1,1,2,100,1,100,4,100,2,3,3,1,2,2,2,1,1,1,1,1,4,1,1,1,98,98,1,100,100,2,2,2,2,1,1,3,2,2,1,1,1,1,4,2,1,4,1,1,1,2,4,4,2,3,3,2,1,2,2,4,2,2,4,1,1,1,3,2,3,2,1,3,2,100,100,100,100,100,100,3,100,100,1,3,2,2, ,3,3,2, ,1,2,4,1,2,3, , , ,1, ,100,4,1,2,1, , ,4,9,10,10,100
988,4,3,2,2,3,3,4,1,3,2,2,2,1,1,1,3,2,1,1,4,5,5,3,4,2,1,3,4,5,5,1,1,2, ,1,2,3,100,100,4,4,4,1,4,10,2,3,10,10,10,1,5,5,5,1,1,1,1,100,100,100,100,2,3,4,3,3,2,1,100,2,100,3,100,1,1,1,1,1,3,4,1,1,1,1,4,3,1,1,1,98,98,98,100,100,1,2,2,1,5,1,1,1,4,1,1,1,1,4,1,1,4,4,4,1,2,4,1,1,1,1,1,1,1,4,4,1,1,1,3,3,3,1,3,4,2,2,2,3,100,100,100,100,100,100,4,100,100,1,4,2,3,2,3,3,3, ,6,1,1,0,2,2, , , ,3,14,100,5,1,1,1, , ,3,3,10,8,100
1,4,3,2,2,3,3,4,1,4,2,1,2,2,2,2,98,1,2,2,4,1,4,1,3,2,1,4,1,5,5,1,1,1,3,2,3,3,100,100,3,3,4,1,1,10,98,8,10,3,10,95,6,10,8,1,4,2,2,100,100,100,100,4,2,4,3,3,5,1,100,2,100,98,100,4,3,2,1,2,3,3,1,1,1,1,4,4,1,1,1,2,2,3,100,100,2,2,2,2,5,1,2,2,2,3,1,1,1,3,1,1,4,4,1,1,99,3,2,2,2,2,3,1,1,3,4,1,1,4,3,3,3,3,4,4,4,3,1,4,100,100,100,100,100,100,4,100,100,1,3,1,3,3,2,2,2, , ,2,4,1,2,3, , , ,1, ,100,3,1,2,1, , ,1,3,5,8,100
985,4,3,2,2,3,3,4,1,4,2,2,1,1,1,2,4,2,2,1,1,1,4,1,3,3,1,3,3,5,5,1,1,2, ,1,3,3,100,100,4,4,4,1,1,10,98,8,10,10,10,5,5,5,6,1,1,1,1,100,100,100,100,3,4,4,3,3,3,1,100,2,100,3,100,2,1,1,1,3,3,3,1,2,1,1,4,4,1,1,1,98,98,1,100,100,1,1,2,3,5,1,1,1,1,1,1,2,1,4,4,1,4,4,4,4,2,3,1,1,1,4,1,4,1,1,1,1,1,1,3,3,3,3,4,4,4,1,1,4,100,100,100,100,100,100,4,100,100,1,4,2,2, ,3,3,3, ,1,2,2,1,2,2, , , ,2,1,100,4,1,2,1, , ,0,1,1.5,2,100
